Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.PesquisarProduto.PesquisaListaProduto,101,8,0,1,3,0,275
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.PesquisarProduto.PesquisaListaEstoque,117,8,0,1,3,0,275
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.PesquisarProduto,99,4,1,0,3,0,217
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.GuardarEstoque,60,6,0,1,2,0,208
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.SetProduto,74,3,3,0,1,0,204
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.MensagemAtualizacaoEstoque,71,5,0,1,2,0,196
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.MontarTelaCadastroProduto ,49,10,0,0,1,0,167
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.EscolherOpcao,26,6,0,0,2,0,158
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.MontarMenu ,48,9,0,0,1,0,154
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.MontarTelaCadastroEstoque,82,7,0,0,1,0,129
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.SetListaEstoque,49,2,1,0,1,0,108
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.SetListaProduto,141,2,1,0,1,0,108
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.SetValorEstoque,152,1,1,0,1,0,096
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.Create,28,2,0,0,1,0,067
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.GetOpcaoEscolhida,38,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.MensagemOpcaoIncorreta,43,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.New,63,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.Menu.pas,TMenuTelaDos.ValidarOpcaoEscolhida,68,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.destroy,34,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.GetOpcaoEscolhida,39,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.GetProduto,44,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroProduto.pas,TTelaCadastroProduto.New,69,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.Create,44,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.GetOpcaoEscolhida,55,1,0,0,1,0,054
C:\Delphi\ProjetoConsole\USisDos.Tela.CadastroEstoque.pas,TCadastroEstoque.New,94,1,0,0,1,0,054
